block,role,station_id
lat1_lon2,training,GMM00010035
lat1_lon2,training,GMM00010113
lat1_lon2,training,GMM00010184
lat1_lon2,training,GMM00010238
lat1_lon2,training,GMM00010304
lat1_lon2,training,GMM00010393
lat1_lon2,training,GMM00010410
lat1_lon2,training,GMM00010548
lat1_lon2,training,GMM00010618
lat1_lon2,training,GMM00010739
lat1_lon2,training,GMM00010868
lat1_lon2,training,GMM00010954
lat1_lon2,training,GPM00078897
lat1_lon2,training,GQM00091212
lat1_lon2,training,GRM00016622
lat1_lon2,training,GRM00016716
lat1_lon2,training,HKM00045004
lat1_lon2,training,HRM00014430
lat1_lon2,training,HUM00012843
lat1_lon2,training,HUM00012982
lat1_lon2,training,IDM00096237
lat1_lon2,training,IDM00096509
lat1_lon2,training,IDM00096581
lat1_lon2,training,IDM00096749
lat1_lon2,training,IDM00096935
lat1_lon2,training,IDM00097372
lat1_lon2,training,IDM00097980
lat1_lon2,training,INM00042111
lat1_lon2,training,INM00042220
lat1_lon2,training,INM00042348
lat1_lon2,training,INM00042410
lat1_lon2,training,INM00042623
lat1_lon2,training,INM00042647
lat1_lon2,training,INM00042675
lat1_lon2,training,INM00042809
lat1_lon2,training,INM00042886
lat1_lon2,training,INM00042971
lat1_lon2,training,INM00043003
lat1_lon2,training,INM00043049
lat1_lon2,training,INM00043063
lat1_lon2,training,INM00043128
lat1_lon2,training,INM00043150
lat1_lon2,training,INM00043346
lat1_lon2,training,INM00043353
lat1_lon2,training,INM00043371
lat1_lon2,training,IRM00040766
lat1_lon2,training,IRM00040809
lat1_lon2,training,IRM00040856
lat1_lon2,training,ITM00016045
lat1_lon2,training,ITM00016064
lat1_lon2,training,ITM00016113
lat1_lon2,training,ITM00016144
lat1_lon2,training,ITM00016245
lat1_lon2,training,IVM00065548
lat1_lon2,training,IZM00040650
lat1_lon2,training,JAM00047401
lat1_lon2,training,JAM00047582
lat1_lon2,training,JAM00047646
lat1_lon2,training,JAM00047678
lat1_lon2,training,JAM00047741
lat1_lon2,training,JAM00047807
lat1_lon2,training,JAM00047918
lat1_lon2,training,JAM00047945
lat1_lon2,training,JAM00047971
lat1_lon2,training,JAM00047991
lat1_lon2,training,JNM00001001
lat1_lon2,training,KSM00047138
lat1_lon2,training,KSM00047155
lat1_lon2,training,KSM00047169
lat1_lon2,training,KSM00047186
lat1_lon2,training,KZM00028951
lat1_lon2,training,KZM00035229
lat1_lon2,training,KZM00035671
lat1_lon2,training,KZM00035700
lat1_lon2,training,KZM00036003
lat1_lon2,training,KZM00036872
lat1_lon2,training,KZM00038064
lat1_lon2,training,KZM00038341
lat1_lon2,training,LHM00026629
lat1_lon2,training,MGM00044212
lat1_lon2,training,MGM00044231
lat1_lon2,training,MGM00044292
lat1_lon2,training,MGM00044373
lat1_lon2,training,MLM00061291
lat1_lon2,training,MOM00060155
lat1_lon2,training,MOM00060253
lat1_lon2,training,MXM00076458
lat1_lon2,training,MXM00076526
lat1_lon2,training,MXM00076595
lat1_lon2,training,MXM00076612
lat1_lon2,training,MXM00076679
lat1_lon2,training,MXM00076692
lat1_lon2,training,MYM00048601
lat1_lon2,training,MYM00048615
lat1_lon2,training,MYM00096441
lat1_lon2,training,MYM00096481
lat1_lon2,training,NCM00091592
lat1_lon2,training,NFM00094996
lat1_lon2,training,NGM00061024
lat1_lon2,training,NGM00061052
lat1_lon2,training,NLM00006260
lat1_lon2,training,NOM00001241
lat1_lon2,training,NOM00001400
lat1_lon2,training,NOM00001415
lat1_lon2,training,PFM00059981
lat1_lon2,training,PLM00012575
lat1_lon2,training,PMM00078807
lat1_lon2,training,POM00008508
lat1_lon2,training,POM00008522
lat1_lon2,training,REM00061980
lat1_lon2,training,ROM00015420
lat1_lon2,training,RPM00098223
lat1_lon2,training,RPM00098233
lat1_lon2,training,RPM00098433
lat1_lon2,training,RPM00098444
lat1_lon2,training,RQM00078526
lat1_lon2,training,RSM00020046
lat1_lon2,training,RSM00020674
lat1_lon2,training,RSM00021824
lat1_lon2,training,RSM00022008
lat1_lon2,training,RSM00022217
lat1_lon2,training,RSM00022543
lat1_lon2,training,RSM00022845
lat1_lon2,training,RSM00023078
lat1_lon2,training,RSM00023205
lat1_lon2,training,RSM00023330
lat1_lon2,training,RSM00023415
lat1_lon2,training,RSM00023472
lat1_lon2,training,RSM00023802
lat1_lon2,training,RSM00023933
lat1_lon2,training,RSM00023955
lat1_lon2,training,RSM00024507
lat1_lon2,training,RSM00024641
lat1_lon2,training,RSM00024688
lat1_lon2,training,RSM00024726
lat1_lon2,training,RSM00024959
lat1_lon2,training,RSM00025403
lat1_lon2,training,RSM00025703
lat1_lon2,training,RSM00025913
lat1_lon2,training,RSM00026075
lat1_lon2,training,RSM00026298
lat1_lon2,training,RSM00026708
lat1_lon2,training,RSM00027038
lat1_lon2,training,RSM00027199
lat1_lon2,training,RSM00027707
lat1_lon2,training,RSM00027713
lat1_lon2,training,RSM00027730
lat1_lon2,training,RSM00028225
lat1_lon2,training,RSM00029263
lat1_lon2,training,RSM00029282
lat1_lon2,training,RSM00029572
lat1_lon2,training,RSM00029612
lat1_lon2,training,RSM00029839
lat1_lon2,training,RSM00029862
lat1_lon2,training,RSM00030054
lat1_lon2,training,RSM00030309
lat1_lon2,training,RSM00030557
lat1_lon2,training,RSM00030635
lat1_lon2,training,RSM00031088
lat1_lon2,training,RSM00031510
lat1_lon2,training,RSM00031538
lat1_lon2,training,RSM00031770
lat1_lon2,training,RSM00031873
lat1_lon2,training,RSM00032061
lat1_lon2,training,RSM00032098
lat1_lon2,training,RSM00032150
lat1_lon2,training,RSM00032389
lat1_lon2,training,RSM00032477
lat1_lon2,training,RSM00032540
lat1_lon2,training,RSM00032618
lat1_lon2,training,RSM00034172
lat1_lon2,training,RSM00034731
lat1_lon2,training,RSM00034858
lat1_lon2,training,RSM00034882
lat1_lon2,training,RSM00035121
lat1_lon2,training,RSM00037011
lat1_lon2,training,SAM00040373
lat1_lon2,training,SAM00040375
lat1_lon2,training,SAM00040394
lat1_lon2,training,SAM00040417
lat1_lon2,training,SAM00040430
lat1_lon2,training,SFM00068263
lat1_lon2,training,SFM00068512
lat1_lon2,training,SFM00068842
lat1_lon2,training,SHM00061901
lat1_lon2,training,SHM00068906
lat1_lon2,training,SNM00048698
lat1_lon2,training,SPM00008001
lat1_lon2,training,SPM00008023
lat1_lon2,training,SPM00008190
lat1_lon2,training,SPM00008221
lat1_lon2,training,SPM00008302
lat1_lon2,training,SPM00008383
lat1_lon2,training,SPM00008430
lat1_lon2,training,SWM00002591
lat1_lon2,training,SZM00006610
lat1_lon2,training,THM00048327
lat1_lon2,training,THM00048378
lat1_lon2,training,THM00048381
lat1_lon2,training,THM00048431
lat1_lon2,training,THM00048453
lat1_lon2,training,THM00048480
lat1_lon2,training,TUM00017064
lat1_lon2,training,TUM00017095
lat1_lon2,training,TUM00017220
lat1_lon2,training,TUM00017240
lat1_lon2,training,UKM00003005
lat1_lon2,training,UKM00003238
lat1_lon2,training,UKM00003918
lat1_lon2,training,USM00070026
lat1_lon2,training,USM00070200
lat1_lon2,training,USM00070219
lat1_lon2,training,USM00070261
lat1_lon2,training,USM00070273
lat1_lon2,training,USM00070308
lat1_lon2,training,USM00070350
lat1_lon2,training,USM00072201
lat1_lon2,training,USM00072202
lat1_lon2,training,USM00072206
lat1_lon2,training,USM00072208
lat1_lon2,training,USM00072210
lat1_lon2,training,USM00072215
lat1_lon2,training,USM00072235
lat1_lon2,training,USM00072240
lat1_lon2,training,USM00072248
lat1_lon2,training,USM00072249
lat1_lon2,training,USM00072251
lat1_lon2,training,USM00072261
lat1_lon2,training,USM00072265
lat1_lon2,training,USM00072293
lat1_lon2,training,USM00072317
lat1_lon2,training,USM00072327
lat1_lon2,training,USM00072357
lat1_lon2,training,USM00072364
lat1_lon2,training,USM00072376
lat1_lon2,training,USM00072393
lat1_lon2,training,USM00072402
lat1_lon2,training,USM00072403
lat1_lon2,training,USM00072426
lat1_lon2,training,USM00072440
lat1_lon2,training,USM00072451
lat1_lon2,training,USM00072456
lat1_lon2,training,USM00072476
lat1_lon2,training,USM00072493
lat1_lon2,training,USM00072518
lat1_lon2,training,USM00072520
lat1_lon2,training,USM00072582
lat1_lon2,training,USM00072597
lat1_lon2,training,USM00072632
lat1_lon2,training,USM00072634
lat1_lon2,training,USM00072645
lat1_lon2,training,USM00072659
lat1_lon2,training,USM00072662
lat1_lon2,training,USM00072672
lat1_lon2,training,USM00072681
lat1_lon2,training,USM00072694
lat1_lon2,training,USM00072712
lat1_lon2,training,USM00072764
lat1_lon2,training,USM00072768
lat1_lon2,training,USM00074560
lat1_lon2,training,USM00074646
lat1_lon2,training,USM00091165
lat1_lon2,training,USM00091285
lat1_lon2,training,VMM00048820
lat1_lon2,training,VMM00048855
lat1_lon2,early_validation,AEM00041217
lat1_lon2,early_validation,ASM00095527
lat1_lon2,early_validation,ATM00094001
lat1_lon2,early_validation,AYM00089592
lat1_lon2,early_validation,AYM00089642
lat1_lon2,early_validation,BBM00078954
lat1_lon2,early_validation,BRM00082107
lat1_lon2,early_validation,BRM00082824
lat1_lon2,early_validation,BRM00083779
lat1_lon2,early_validation,CAM00071081
lat1_lon2,early_validation,CAM00071823
lat1_lon2,early_validation,CHM00052203
lat1_lon2,early_validation,CHM00052267
lat1_lon2,early_validation,CHM00052418
lat1_lon2,early_validation,CHM00054857
lat1_lon2,early_validation,CHM00056187
lat1_lon2,early_validation,CHM00056778
lat1_lon2,early_validation,CHM00057245
lat1_lon2,early_validation,CHM00057687
lat1_lon2,early_validation,CHM00058362
lat1_lon2,early_validation,CHM00058424
lat1_lon2,early_validation,CHM00059134
lat1_lon2,early_validation,CIM00085934
lat1_lon2,early_validation,DRM00078486
lat1_lon2,early_validation,IDM00097502
lat1_lon2,early_validation,INM00042314
lat1_lon2,early_validation,IRM00040706
lat1_lon2,early_validation,ITM00016332
lat1_lon2,early_validation,JAM00047827
lat1_lon2,early_validation,JAM00047909
lat1_lon2,early_validation,KZM00035394
lat1_lon2,early_validation,MLM00048811
lat1_lon2,early_validation,MXM00076654
lat1_lon2,early_validation,MYM00048657
lat1_lon2,early_validation,MYM00096413
lat1_lon2,early_validation,MYM00096471
lat1_lon2,early_validation,PLM00012425
lat1_lon2,early_validation,POM00008536
lat1_lon2,early_validation,QAM00041169
lat1_lon2,early_validation,RSM00022522
lat1_lon2,early_validation,RSM00024343
lat1_lon2,early_validation,RSM00025123
lat1_lon2,early_validation,RSM00026477
lat1_lon2,early_validation,RSM00027962
lat1_lon2,early_validation,RSM00028275
lat1_lon2,early_validation,RSM00029231
lat1_lon2,early_validation,RSM00032215
lat1_lon2,early_validation,RSM00034009
lat1_lon2,early_validation,RSM00034247
lat1_lon2,early_validation,RSM00034467
lat1_lon2,early_validation,RSM00036096
lat1_lon2,early_validation,SFM00068816
lat1_lon2,early_validation,THM00048407
lat1_lon2,early_validation,TUM00017030
lat1_lon2,early_validation,TUM00017196
lat1_lon2,early_validation,UKM00003808
lat1_lon2,early_validation,USM00070361
lat1_lon2,early_validation,USM00070398
lat1_lon2,early_validation,USM00072489
lat1_lon2,early_validation,USM00072501
lat1_lon2,early_validation,USM00072558
lat1_lon2,early_validation,USM00072572
lat1_lon2,early_validation,USM00072747
lat1_lon2,early_validation,USM00074389
lat1_lon2,calibration,AGM00060390
lat1_lon2,calibration,ARM00087860
lat1_lon2,calibration,AYM00089532
lat1_lon2,calibration,BRM00082022
lat1_lon2,calibration,BRM00083827
lat1_lon2,calibration,BRM00083899
lat1_lon2,calibration,CAM00071043
lat1_lon2,calibration,CAM00071119
lat1_lon2,calibration,CAM00071845
lat1_lon2,calibration,CAM00071924
lat1_lon2,calibration,CHM00053513
lat1_lon2,calibration,CHM00054161
lat1_lon2,calibration,CHM00054511
lat1_lon2,calibration,CHM00056492
lat1_lon2,calibration,CHM00056651
lat1_lon2,calibration,CHM00058027
lat1_lon2,calibration,CHM00058150
lat1_lon2,calibration,CHM00058665
lat1_lon2,calibration,CHM00058847
lat1_lon2,calibration,CHM00059023
lat1_lon2,calibration,FMM00091413
lat1_lon2,calibration,FPM00091925
lat1_lon2,calibration,GLM00004220
lat1_lon2,calibration,HRM00014240
lat1_lon2,calibration,IDM00097180
lat1_lon2,calibration,INM00042339
lat1_lon2,calibration,INM00043185
lat1_lon2,calibration,IRM00040841
lat1_lon2,calibration,ITM00016546
lat1_lon2,calibration,JAM00047412
lat1_lon2,calibration,KEM00063741
lat1_lon2,calibration,KSM00047230
lat1_lon2,calibration,MXM00076256
lat1_lon2,calibration,MXM00076644
lat1_lon2,calibration,PLM00012374
lat1_lon2,calibration,PSM00091408
lat1_lon2,calibration,RSM00022271
lat1_lon2,calibration,RSM00023884
lat1_lon2,calibration,RSM00023921
lat1_lon2,calibration,RSM00024122
lat1_lon2,calibration,RSM00024908
lat1_lon2,calibration,RSM00026781
lat1_lon2,calibration,RSM00027594
lat1_lon2,calibration,RSM00027995
lat1_lon2,calibration,RSM00028445
lat1_lon2,calibration,RSM00028695
lat1_lon2,calibration,RSM00028722
lat1_lon2,calibration,RSM00029634
lat1_lon2,calibration,RSM00031300
lat1_lon2,calibration,SAM00041112
lat1_lon2,calibration,SVM00001028
lat1_lon2,calibration,THM00048500
lat1_lon2,calibration,UKM00003354
lat1_lon2,calibration,USM00070316
lat1_lon2,calibration,USM00070326
lat1_lon2,calibration,USM00072230
lat1_lon2,calibration,USM00072274
lat1_lon2,calibration,USM00072363
lat1_lon2,calibration,USM00072528
lat1_lon2,calibration,USM00074455
lat1_lon2,calibration,VMM00048839
lat1_lon4,evaluation,ARM00087344
lat1_lon4,evaluation,ARM00087418
lat1_lon4,evaluation,ARM00087623
lat1_lon4,evaluation,ARM00087715
lat1_lon4,evaluation,ARM00087860
lat1_lon4,evaluation,CIM00085586
lat1_lon4,evaluation,CIM00085799
lat1_lon4,evaluation,CIM00085934
lat1_lon4,training,AGM00060680
lat1_lon4,training,AOM00066160
lat1_lon4,training,AQM00091765
lat1_lon4,training,ARM00087155
lat1_lon4,training,ASM00094170
lat1_lon4,training,ASM00094203
lat1_lon4,training,ASM00094302
lat1_lon4,training,ASM00094312
lat1_lon4,training,ASM00094403
lat1_lon4,training,ASM00094430
lat1_lon4,training,ASM00094461
lat1_lon4,training,ASM00094510
lat1_lon4,training,ASM00094578
lat1_lon4,training,ASM00094610
lat1_lon4,training,ASM00094659
lat1_lon4,training,ASM00094672
lat1_lon4,training,ASM00094711
lat1_lon4,training,ASM00094802
lat1_lon4,training,ASM00094866
lat1_lon4,training,ASM00094995
lat1_lon4,training,ASM00094998
lat1_lon4,training,ATM00094005
lat1_lon4,training,ATM00095282
lat1_lon4,training,AYM00089062
lat1_lon4,training,AYM00089564
lat1_lon4,training,AYM00089571
lat1_lon4,training,AYM00089611
lat1_lon4,training,AYM00089664
lat1_lon4,training,BDM00078016
lat1_lon4,training,BEM00006458
lat1_lon4,training,BGM00041923
lat1_lon4,training,BHM00078583
lat1_lon4,training,BRM00082026
lat1_lon4,training,BRM00082099
lat1_lon4,training,BRM00082193
lat1_lon4,training,BRM00082244
lat1_lon4,training,BRM00082332
lat1_lon4,training,BRM00082532
lat1_lon4,training,BRM00082705
lat1_lon4,training,BRM00082965
lat1_lon4,training,BRM00083525
lat1_lon4,training,BRM00083566
lat1_lon4,training,BRM00083612
lat1_lon4,training,BRM00083649
lat1_lon4,training,BRM00083840
lat1_lon4,training,BRM00083937
lat1_lon4,training,CAM00071109
lat1_lon4,training,CAM00071603
lat1_lon4,training,CAM00071722
lat1_lon4,training,CAM00071802
lat1_lon4,training,CAM00071816
lat1_lon4,training,CAM00071867
lat1_lon4,training,CAM00071906
lat1_lon4,training,CAM00071907
lat1_lon4,training,CAM00071908
lat1_lon4,training,CAM00071909
lat1_lon4,training,CAM00071913
lat1_lon4,training,CAM00071917
lat1_lon4,training,CAM00071925
lat1_lon4,training,CAM00071934
lat1_lon4,training,CAM00071957
lat1_lon4,training,CAM00073033
lat1_lon4,training,CAM00073110
lat1_lon4,training,CFM00064400
lat1_lon4,training,CHM00050527
lat1_lon4,training,CHM00050557
lat1_lon4,training,CHM00050774
lat1_lon4,training,CHM00050953
lat1_lon4,training,CHM00051076
lat1_lon4,training,CHM00051243
lat1_lon4,training,CHM00051431
lat1_lon4,training,CHM00051463
lat1_lon4,training,CHM00051644
lat1_lon4,training,CHM00051656
lat1_lon4,training,CHM00051709
lat1_lon4,training,CHM00051777
lat1_lon4,training,CHM00051839
lat1_lon4,training,CHM00052533
lat1_lon4,training,CHM00052681
lat1_lon4,training,CHM00052866
lat1_lon4,training,CHM00052983
lat1_lon4,training,CHM00053463
lat1_lon4,training,CHM00053543
lat1_lon4,training,CHM00053614
lat1_lon4,training,CHM00053772
lat1_lon4,training,CHM00053845
lat1_lon4,training,CHM00053915
lat1_lon4,training,CHM00054102
lat1_lon4,training,CHM00054135
lat1_lon4,training,CHM00054218
lat1_lon4,training,CHM00054292
lat1_lon4,training,CHM00054340
lat1_lon4,training,CHM00054374
lat1_lon4,training,CHM00054662
lat1_lon4,training,CHM00054727
lat1_lon4,training,CHM00056080
lat1_lon4,training,CHM00056571
lat1_lon4,training,CHM00056739
lat1_lon4,training,CHM00056964
lat1_lon4,training,CHM00056985
lat1_lon4,training,CHM00057083
lat1_lon4,training,CHM00057127
lat1_lon4,training,CHM00057461
lat1_lon4,training,CHM00057494
lat1_lon4,training,CHM00057516
lat1_lon4,training,CHM00057541
lat1_lon4,training,CHM00057972
lat1_lon4,training,CHM00058203
lat1_lon4,training,CHM00058238
lat1_lon4,training,CHM00058457
lat1_lon4,training,CHM00058606
lat1_lon4,training,CHM00058633
lat1_lon4,training,CHM00058725
lat1_lon4,training,CHM00059265
lat1_lon4,training,CHM00059280
lat1_lon4,training,CHM00059293
lat1_lon4,training,CIM00085442
lat1_lon4,training,CKM00096996
lat1_lon4,training,COM00080001
lat1_lon4,training,COM00080222
lat1_lon4,training,COM00080398
lat1_lon4,training,EIM00003953
lat1_lon4,training,ENM00026038
lat1_lon4,training,EZM00011520
lat1_lon4,training,EZM00011747
lat1_lon4,training,FGM00081405
lat1_lon4,training,FJM00091680
lat1_lon4,training,FKM00088889
lat1_lon4,training,FMM00091334
lat1_lon4,training,FMM00091348
lat1_lon4,training,FOM00006011
lat1_lon4,training,FPM00091938
lat1_lon4,training,FRM00007110
lat1_lon4,training,FRM00007145
lat1_lon4,training,FRM00007510
lat1_lon4,training,FRM00007645
lat1_lon4,training,FRM00007761
lat1_lon4,training,GLM00004270
lat1_lon4,training,GMM00010035
lat1_lon4,training,GMM00010113
lat1_lon4,training,GMM00010184
lat1_lon4,training,GMM00010238
lat1_lon4,training,GMM00010304
lat1_lon4,training,GMM00010393
lat1_lon4,training,GMM00010410
lat1_lon4,training,GMM00010548
lat1_lon4,training,GMM00010618
lat1_lon4,training,GMM00010739
lat1_lon4,training,GMM00010868
lat1_lon4,training,GMM00010954
lat1_lon4,training,GPM00078897
lat1_lon4,training,GQM00091212
lat1_lon4,training,GRM00016622
lat1_lon4,training,GRM00016716
lat1_lon4,training,HKM00045004
lat1_lon4,training,HRM00014430
lat1_lon4,training,HUM00012843
lat1_lon4,training,HUM00012982
lat1_lon4,training,IDM00096237
lat1_lon4,training,IDM00096509
lat1_lon4,training,IDM00096581
lat1_lon4,training,IDM00096749
lat1_lon4,training,IDM00096935
lat1_lon4,training,IDM00097372
lat1_lon4,training,IDM00097980
lat1_lon4,training,INM00042111
lat1_lon4,training,INM00042220
lat1_lon4,training,INM00042348
lat1_lon4,training,INM00042410
lat1_lon4,training,INM00042623
lat1_lon4,training,INM00042647
lat1_lon4,training,INM00042675
lat1_lon4,training,INM00042809
lat1_lon4,training,INM00042886
lat1_lon4,training,INM00042971
lat1_lon4,training,INM00043003
lat1_lon4,training,INM00043049
lat1_lon4,training,INM00043063
lat1_lon4,training,INM00043128
lat1_lon4,training,INM00043150
lat1_lon4,training,INM00043346
lat1_lon4,training,INM00043353
lat1_lon4,training,INM00043371
lat1_lon4,training,IRM00040766
lat1_lon4,training,IRM00040809
lat1_lon4,training,IRM00040856
lat1_lon4,training,ITM00016045
lat1_lon4,training,ITM00016064
lat1_lon4,training,ITM00016113
lat1_lon4,training,ITM00016144
lat1_lon4,training,ITM00016245
lat1_lon4,training,IVM00065548
lat1_lon4,training,IZM00040650
lat1_lon4,training,JAM00047401
lat1_lon4,training,JAM00047582
lat1_lon4,training,JAM00047646
lat1_lon4,training,JAM00047678
lat1_lon4,training,JAM00047741
lat1_lon4,training,JAM00047807
lat1_lon4,training,JAM00047918
lat1_lon4,training,JAM00047945
lat1_lon4,training,JAM00047971
lat1_lon4,training,JAM00047991
lat1_lon4,training,JNM00001001
lat1_lon4,training,KSM00047138
lat1_lon4,training,KSM00047155
lat1_lon4,training,KSM00047169
lat1_lon4,training,KSM00047186
lat1_lon4,training,KZM00028951
lat1_lon4,training,KZM00035229
lat1_lon4,training,KZM00035671
lat1_lon4,training,KZM00035700
lat1_lon4,training,KZM00036003
lat1_lon4,training,KZM00036872
lat1_lon4,training,KZM00038064
lat1_lon4,training,KZM00038341
lat1_lon4,training,LHM00026629
lat1_lon4,training,MGM00044212
lat1_lon4,training,MGM00044231
lat1_lon4,training,MGM00044292
lat1_lon4,training,MGM00044373
lat1_lon4,training,MLM00061291
lat1_lon4,training,MOM00060155
lat1_lon4,training,MOM00060253
lat1_lon4,training,MXM00076458
lat1_lon4,training,MXM00076526
lat1_lon4,training,MXM00076595
lat1_lon4,training,MXM00076612
lat1_lon4,training,MXM00076679
lat1_lon4,training,MXM00076692
lat1_lon4,training,MYM00048601
lat1_lon4,training,MYM00048615
lat1_lon4,training,MYM00096441
lat1_lon4,training,MYM00096481
lat1_lon4,training,NCM00091592
lat1_lon4,training,NFM00094996
lat1_lon4,training,NGM00061024
lat1_lon4,training,NGM00061052
lat1_lon4,training,NLM00006260
lat1_lon4,training,NOM00001241
lat1_lon4,training,NOM00001400
lat1_lon4,training,NOM00001415
lat1_lon4,training,NZM00093112
lat1_lon4,training,PFM00059981
lat1_lon4,training,PLM00012575
lat1_lon4,training,PMM00078807
lat1_lon4,training,POM00008508
lat1_lon4,training,POM00008522
lat1_lon4,training,REM00061980
lat1_lon4,training,ROM00015420
lat1_lon4,training,RPM00098223
lat1_lon4,training,RPM00098233
lat1_lon4,training,RPM00098433
lat1_lon4,training,RPM00098444
lat1_lon4,training,RQM00078526
lat1_lon4,training,RSM00020046
lat1_lon4,training,RSM00020674
lat1_lon4,training,RSM00021824
lat1_lon4,training,RSM00022008
lat1_lon4,training,RSM00022217
lat1_lon4,training,RSM00022543
lat1_lon4,training,RSM00022845
